Name,AORUS MASTER 16 BZH,AORUS MASTER 16 BYH,AORUS MASTER 16 BXH
OS,"Windows 11 Pro (GIGABYTE recommends Windows 11 Pro for business.)
Windows 11 Home
UEFI Shell OS","Windows 11 Pro (GIGABYTE recommends Windows 11 Pro for business.)
Windows 11 Home
UEFI Shell OS","Windows 11 Pro (GIGABYTE recommends Windows 11 Pro for business.)
Windows 11 Home
UEFI Shell OS"
CPU,"Intel® Core™ Ultra 9 Processor 275HX (36MB cache, up to 5.4 GHz, 24 cores, 24 threads)","Intel® Core™ Ultra 9 Processor 275HX (36MB cache, up to 5.4 GHz, 24 cores, 24 threads)","Intel® Core™ Ultra 9 Processor 275HX (36MB cache, up to 5.4 GHz, 24 cores, 24 threads)"
Video Graphics,"NVIDIA® GeForce RTX™ 5090 Laptop GPU
24GB GDDR7
175W Maximum Graphics Power with Dynamic Boost*
AI Boost : 1797 MHz (1597 MHz Boost Clock + 200 MHz OC)*

*May vary by scenario","NVIDIA® GeForce RTX™ 5080 Laptop GPU
16GB GDDR7
175W Maximum Graphics Power with Dynamic Boost*
AI Boost : 1902 MHz (1702 MHz Boost Clock + 200 MHz OC)*

*May vary by scenario","NVIDIA® GeForce RTX™ 5070 Ti Laptop GPU
12GB GDDR7
140W Maximum Graphics Power with Dynamic Boost*
AI Boost : 1962 MHz (1762 MHz Boost Clock + 200 MHz OC)*

*May vary by scenario"
Display,"16"" 16:10
OLED WQXGA (2560×1600) 240Hz, 1ms, DCIP-3 100%, 500nits (peak), 1,000,000:1

NVIDIA® G-SYNC®
NVIDIA® Advanced Optimus
VESA DisplayHDR True Black 500
VESA ClearMR 10000
Pantone® Validated
TÜV Rheinland Low Blue Light
Dolby Vision®","16"" 16:10
OLED WQXGA (2560×1600) 240Hz, 1ms, DCIP-3 100%, 500nits (peak), 1,000,000:1

NVIDIA® G-SYNC®
NVIDIA® Advanced Optimus
VESA DisplayHDR True Black 500
VESA ClearMR 10000
Pantone® Validated
TÜV Rheinland Low Blue Light
Dolby Vision®","16"" 16:10
OLED WQXGA (2560×1600) 240Hz, 1ms, DCIP-3 100%, 500nits (peak), 1,000,000:1

NVIDIA® G-SYNC®
NVIDIA® Advanced Optimus
VESA DisplayHDR True Black 500
VESA ClearMR 10000
Pantone® Validated
TÜV Rheinland Low Blue Light
Dolby Vision®"
System Memory,"Up to 64GB DDR5 5600MHz
* 2x SO-DIMM sockets for expansion","Up to 64GB DDR5 5600MHz
* 2x SO-DIMM sockets for expansion","Up to 64GB DDR5 5600MHz
* 2x SO-DIMM sockets for expansion"
Storage,"1x PCIe Gen5 M.2 slot
1x PCIe Gen4x4 M.2 slots
Up to 4TB PCIe NVMe™ M.2 SSD

*The storage capacity may differ by country and region. Please contact your local dealers or retailers for the latest product information.
**If there is any abnormality that cannot be attributed to Gigabyte/AORUS during the warranty period, it is not covered by the warranty. More info:https://member.aorus.com/global/productwarranty","1x PCIe Gen5 M.2 slot
1x PCIe Gen4x4 M.2 slots
Up to 4TB PCIe NVMe™ M.2 SSD

*The storage capacity may differ by country and region. Please contact your local dealers or retailers for the latest product information.
**If there is any abnormality that cannot be attributed to Gigabyte/AORUS during the warranty period, it is not covered by the warranty. More info:https://member.aorus.com/global/productwarranty","1x PCIe Gen5 M.2 slot
1x PCIe Gen4x4 M.2 slots
Up to 4TB PCIe NVMe™ M.2 SSD

*The storage capacity may differ by country and region. Please contact your local dealers or retailers for the latest product information.
**If there is any abnormality that cannot be attributed to Gigabyte/AORUS during the warranty period, it is not covered by the warranty. More info:https://member.aorus.com/global/productwarranty"
Keyboard Type,"3-zone RGB Backlit Keyboard, Up to 1.7mm Key-travel (Support N-Key)","3-zone RGB Backlit Keyboard, Up to 1.7mm Key-travel (Support N-Key)","3-zone RGB Backlit Keyboard, Up to 1.7mm Key-travel (Support N-Key)"
I/O Port,"Left Side:

1 x DC in
1 x RJ-45
1 x HDMI 2.1
1 x Type-A support USB3.2 Gen2
1 x Type-C with Thunderbolt™5 (support USB4, DisplayPort™ 2.1 and Power Delivery 3.0)

Right Side:

1 x Type-A support USB3.2 Gen2
1 x Type-C with Thunderbolt™4 (support USB4, DisplayPort™ 1.4 and Power Delivery 3.0)
1 x MicroSD (UHS-II)
1 x Audio Jack support mic / headphone combo","Left Side:

1 x DC in
1 x RJ-45
1 x HDMI 2.1
1 x Type-A support USB3.2 Gen2
1 x Type-C with Thunderbolt™5 (support USB4, DisplayPort™ 2.1 and Power Delivery 3.0)

Right Side:

1 x Type-A support USB3.2 Gen2
1 x Type-C with Thunderbolt™4 (support USB4, DisplayPort™ 1.4 and Power Delivery 3.0)
1 x MicroSD (UHS-II)
1 x Audio Jack support mic / headphone combo","Left Side:

1 x DC in
1 x RJ-45
1 x HDMI 2.1
1 x Type-A support USB3.2 Gen2
1 x Type-C with Thunderbolt™5 (support USB4, DisplayPort™ 2.1 and Power Delivery 3.0)

Right Side:

1 x Type-A support USB3.2 Gen2
1 x Type-C with Thunderbolt™4 (support USB4, DisplayPort™ 1.4 and Power Delivery 3.0)
1 x MicroSD (UHS-II)
1 x Audio Jack support mic / headphone combo"
Audio,"4x 2W speakers
Microphone
Dolby Atmos®
Smart Amp Technology","4x 2W speakers
Microphone
Dolby Atmos®
Smart Amp Technology","4x 2W speakers
Microphone
Dolby Atmos®
Smart Amp Technology"
Communications,"WIFI 7 (802.11be 2x2)
LAN: 1G
Bluetooth v5.4","WIFI 7 (802.11be 2x2)
LAN: 1G
Bluetooth v5.4","WIFI 7 (802.11be 2x2)
LAN: 1G
Bluetooth v5.4"
